dnaSampleID,siteID,plotID,subplotID,coreCoordinateX,coreCoordinateY,year,collectDate,sampleTiming,nucleicAcidConcentration,candidate
HARV_001-O-21-20240708-GEN-DNA1,HARV,HARV_001,21,16,3.5,2024,2024-07-08T18:27Z,peakGreenness,138,yes
HARV_001-O-21-20241021-GEN-DNA1,HARV,HARV_001,21,13.5,4.5,2024,2024-10-21T13:13Z,fallWinterTransition,91,yes
HARV_001-O-23-20240417-GEN-DNA1,HARV,HARV_001,23,32,12,2024,2024-04-17T16:12Z,winterSpringTransition,119,yes
HARV_001-O-23-20240708-GEN-DNA1,HARV,HARV_001,23,39.5,5,2024,2024-07-08T17:43Z,peakGreenness,89,no
HARV_001-O-41-20240708-GEN-DNA1,HARV,HARV_001,41,35.5,25,2024,2024-07-08T16:52Z,peakGreenness,91,no
HARV_002-O-21-20240423-GEN-DNA1,HARV,HARV_002,21,7,9.5,2024,2024-04-23T16:20Z,winterSpringTransition,225,no
HARV_002-O-21-20240710-GEN-DNA1,HARV,HARV_002,21,3.5,7.5,2024,2024-07-10T13:16Z,peakGreenness,183,no
HARV_002-O-23-20241017-GEN-DNA1,HARV,HARV_002,23,36.5,13,2024,2024-10-17T17:47Z,fallWinterTransition,149,no
HARV_002-O-39-20240710-GEN-DNA1,HARV,HARV_002,39,16,37.5,2024,2024-07-10T14:14Z,peakGreenness,119,no
HARV_002-O-41-20240423-GEN-DNA1,HARV,HARV_002,41,32,34.5,2024,2024-04-23T16:49Z,winterSpringTransition,134,yes
HARV_002-O-41-20240710-GEN-DNA1,HARV,HARV_002,41,38,36,2024,2024-07-10T14:51Z,peakGreenness,144,yes
HARV_002-O-41-20241017-GEN-DNA1,HARV,HARV_002,41,38.5,26.5,2024,2024-10-17T18:29Z,fallWinterTransition,69,yes
HARV_004-O-21-20241016-GEN-DNA1,HARV,HARV_004,21,8,5.5,2024,2024-10-16T17:39Z,fallWinterTransition,123,no
HARV_004-O-23-20240417-GEN-DNA1,HARV,HARV_004,23,38.5,10,2024,2024-04-17T18:47Z,winterSpringTransition,86,no
HARV_004-O-23-20240709-GEN-DNA1,HARV,HARV_004,23,28.5,2,2024,2024-07-09T13:02Z,peakGreenness,182,no
HARV_004-O-39-20240709-GEN-DNA1,HARV,HARV_004,39,0,37,2024,2024-07-09T14:03Z,peakGreenness,94,yes
HARV_004-O-39-20241016-GEN-DNA1,HARV,HARV_004,39,16.5,31.5,2024,2024-10-16T16:59Z,fallWinterTransition,170,yes
HARV_004-O-41-20240417-GEN-DNA1,HARV,HARV_004,41,22,33,2024,2024-04-17T18:14Z,winterSpringTransition,150,yes
HARV_005-O-21-20240423-GEN-DNA1,HARV,HARV_005,21,3,13,2024,2024-04-23T18:09Z,winterSpringTransition,104,no
HARV_005-O-21-20240710-GEN-DNA1,HARV,HARV_005,21,16,4,2024,2024-07-10T17:08Z,peakGreenness,254,yes
HARV_005-O-23-20240423-GEN-DNA1,HARV,HARV_005,23,21,0.5,2024,2024-04-23T18:35Z,winterSpringTransition,136,yes
HARV_005-O-23-20240710-GEN-DNA1,HARV,HARV_005,23,39,13.5,2024,2024-07-10T17:54Z,peakGreenness,223,no
HARV_005-O-23-20241017-GEN-DNA1,HARV,HARV_005,23,25,3.5,2024,2024-10-17T15:19Z,fallWinterTransition,57,yes
HARV_005-O-39-20240710-GEN-DNA1,HARV,HARV_005,39,13,36,2024,2024-07-10T18:39Z,peakGreenness,100,no
HARV_005-O-41-20241017-GEN-DNA1,HARV,HARV_005,41,36,24,2024,2024-10-17T14:41Z,fallWinterTransition,79,no
HARV_013-O-39-20240708-GEN-DNA1,HARV,HARV_013,39,7.5,30.5,2024,2024-07-08T13:35Z,peakGreenness,142,no
HARV_013-O-41-20240417-GEN-DNA1,HARV,HARV_013,41,38,33.5,2024,2024-04-17T14:00Z,winterSpringTransition,154,no
HARV_021-O-23-20240709-GEN-DNA1,HARV,HARV_021,23,28,7,2024,2024-07-09T17:43Z,peakGreenness,86,no
HARV_021-O-39-20240423-GEN-DNA1,HARV,HARV_021,39,4,35,2024,2024-04-23T14:22Z,winterSpringTransition,92,no
HARV_021-O-39-20240709-GEN-DNA1,HARV,HARV_021,39,6,22.5,2024,2024-07-09T17:00Z,peakGreenness,92,no
HARV_021-O-41-20240423-GEN-DNA1,HARV,HARV_021,41,37,26.5,2024,2024-04-23T14:53Z,winterSpringTransition,86,yes
HARV_021-O-41-20240709-GEN-DNA1,HARV,HARV_021,41,22.5,33,2024,2024-07-09T18:26Z,peakGreenness,96,yes
HARV_021-O-41-20241021-GEN-DNA1,HARV,HARV_021,41,31,21,2024,2024-10-21T16:36Z,fallWinterTransition,81,yes
HARV_033-O-21-20240415-GEN-DNA1,HARV,HARV_033,21,2.5,15,2024,2024-04-15T18:56Z,winterSpringTransition,132,no
HARV_033-O-21-20240701-GEN-DNA1,HARV,HARV_033,21,5.5,4.5,2024,2024-07-01T13:15Z,peakGreenness,163,no
HARV_033-O-23-20240415-GEN-DNA1,HARV,HARV_033,23,36,19.5,2024,2024-04-15T12:59Z,winterSpringTransition,95,yes
HARV_033-O-23-20240701-GEN-DNA1,HARV,HARV_033,23,31.5,16.5,2024,2024-07-01T13:57Z,peakGreenness,88,yes
HARV_033-O-23-20241015-GEN-DNA1,HARV,HARV_033,23,24.5,0,2024,2024-10-15T15:07Z,fallWinterTransition,90,yes
HARV_033-O-39-20240701-GEN-DNA1,HARV,HARV_033,39,12,31.5,2024,2024-07-01T12:50Z,peakGreenness,138,no
HARV_033-O-39-20241015-GEN-DNA1,HARV,HARV_033,39,0.5,35.5,2024,2024-10-15T15:48Z,fallWinterTransition,97,no
HARV_033-O-41-20241015-GEN-DNA1,HARV,HARV_033,41,27.5,39,2024,2024-10-15T16:31Z,fallWinterTransition,111,no
HARV_034-O-21-20240415-GEN-DNA1,HARV,HARV_034,21,3,2,2024,2024-04-15T14:21Z,winterSpringTransition,48,yes
HARV_034-O-21-20240701-GEN-DNA1,HARV,HARV_034,21,19,8,2024,2024-07-01T18:33Z,peakGreenness,110,yes
HARV_034-O-21-20241015-GEN-DNA1,HARV,HARV_034,21,13.5,9,2024,2024-10-15T18:32Z,fallWinterTransition,109,yes
HARV_034-O-23-20241015-GEN-DNA1,HARV,HARV_034,23,36,15.5,2024,2024-10-15T18:51Z,fallWinterTransition,49,no
HARV_034-O-39-20240415-GEN-DNA1,HARV,HARV_034,39,16.5,31.5,2024,2024-04-15T15:01Z,winterSpringTransition,109,no
HARV_034-O-39-20240701-GEN-DNA1,HARV,HARV_034,39,11,34,2024,2024-07-01T17:33Z,peakGreenness,99,no
HARV_034-O-41-20240701-GEN-DNA1,HARV,HARV_034,41,31,23,2024,2024-07-01T17:47Z,peakGreenness,60,no
HARV_034-O-41-20241015-GEN-DNA1,HARV,HARV_034,41,30,28,2024,2024-10-15T18:21Z,fallWinterTransition,52,no
HARV_035-O-21-20240415-GEN-DNA1,HARV,HARV_035,21,0.5,11.5,2024,2024-04-15T16:17Z,winterSpringTransition,89,no
HARV_035-O-21-20241015-GEN-DNA1,HARV,HARV_035,21,2,8.5,2024,2024-10-15T13:20Z,fallWinterTransition,53,no
HARV_035-O-23-20240415-GEN-DNA1,HARV,HARV_035,23,31,7,2024,2024-04-15T16:18Z,winterSpringTransition,71,yes
HARV_035-O-23-20240702-GEN-DNA1,HARV,HARV_035,23,39.5,14.5,2024,2024-07-02T14:17Z,peakGreenness,74,yes
HARV_035-O-39-20240702-GEN-DNA1,HARV,HARV_035,39,4,34,2024,2024-07-02T15:57Z,peakGreenness,93,no
HARV_035-O-39-20241015-GEN-DNA1,HARV,HARV_035,39,8,35.5,2024,2024-10-15T13:54Z,fallWinterTransition,56,no
HARV_035-O-41-20240702-GEN-DNA1,HARV,HARV_035,41,30.5,32,2024,2024-07-02T15:11Z,peakGreenness,65,no
HARV_035-O-41-20241015-GEN-DNA1,HARV,HARV_035,41,32.5,22,2024,2024-10-15T14:30Z,fallWinterTransition,67,yes
HARV_037-O-21-20240701-GEN-DNA1,HARV,HARV_037,21,6,9.5,2024,2024-07-01T15:09Z,peakGreenness,110,no
HARV_037-O-23-20240415-GEN-DNA1,HARV,HARV_037,23,36.5,13.5,2024,2024-04-15T17:43Z,winterSpringTransition,118,yes
HARV_037-O-23-20241015-GEN-DNA1,HARV,HARV_037,23,35,3,2024,2024-10-15T16:30Z,fallWinterTransition,134,no
HARV_037-O-39-20240415-GEN-DNA1,HARV,HARV_037,39,13,34,2024,2024-04-15T18:04Z,winterSpringTransition,84,no
HARV_037-O-39-20240701-GEN-DNA1,HARV,HARV_037,39,12.5,36.5,2024,2024-07-01T15:12Z,peakGreenness,131,no
HARV_037-O-41-20240701-GEN-DNA1,HARV,HARV_037,41,30.5,20,2024,2024-07-01T16:11Z,peakGreenness,122,yes
HARV_037-O-41-20241015-GEN-DNA1,HARV,HARV_037,41,35.5,23,2024,2024-10-15T15:46Z,fallWinterTransition,42,yes
